"text-light 2","air3-link","air3-link href","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","highlight","air3-token 5","air3-token 6","highlight 2","air3-token 10"
"8 minutes ago","Create a Comprehensive Tutoring Platform","https://www.upwork.com/jobs/Create-Comprehensive-Tutoring-Platform_~021917522767114928079/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$1,500.00","We are seeking a skilled developer to build an innovative online tutoring platform. The platform should enable seamless interactions between tutors and students, featuring user-friendly interfaces, scheduling capabilities, payment integration, and resource sharing. The ideal candidate will have experience in developing educational platforms and a strong understanding of user experience design. If you are passionate about creating impactful educational solutions, we would love to hear from you!","Python","Web Development","WordPress","Web Design","JavaScript","","","","",""
"13 minutes ago","Flask App Refactoring for Multi-User Support","https://www.upwork.com/jobs/Flask-App-Refactoring-for-Multi-User-Support_~021917521466452869071/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$300.00","We are seeking an experienced developer to refactor our existing Flask application to support multi-user functionality. The tasks will include improving session handling, implementing Redis for caching, and setting up Celery for background tasks. The focus will be on ensuring safe concurrency and preparing the app for production deployment. Note that no redesign of the application is required. The ideal candidate should have a strong understanding of Flask framework and related technologies.","Python","Flask","JavaScript","API","PHP","","","","",""
"14 minutes ago","Full stack Django/Pyton and AWS Developer","https://www.upwork.com/jobs/Full-stack-Django-Pyton-and-AWS-Developer_~021917521361880481743/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$2,500.00","I've a ready pyhton code to for sending commands to the IoT device with MQTT.  

This code has to run for the device each 30 seconds. For that reason, we need to define IoT device in Amazon Web service.  

I need a simple user authentication with django. Admin add each user in the django ready admin page. Each user has projects. Each project has a 1 IoT device. We'll write the input parameters of the device daily basis.","Python","Django","Amazon Web Services","AWS IoT Core","","","","","",""
"15 minutes ago","Need urgent help with a compiler project in Java (with NASM and pre-processing)","https://www.upwork.com/jobs/Need-urgent-help-with-compiler-project-Java-with-NASM-and-pre-processing_~021917521070912950442/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$50.00","Hello,
I have a project related to compilation that involves:

    Java

    Pre-processing

    NASM (x86 assembly integration)

The deadline is in less than 24 hours, so I need someone who is available immediately and who has experience with compiler projects.

I can send you the full project description and files (ZIP) right away.

Please only apply if you are confident and available now.

Thank you!","Python","Java","C","Compiler","Assembly Language","","","","",""
"17 minutes ago","Full-Time Full Stack Developer Needed","https://www.upwork.com/jobs/Full-Time-Full-Stack-Developer-Needed_~021917520614874665130/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$1,500.00","We are seeking a dedicated super skilled senior Full Stack Developer to join our team on a full-time basis and be paid monthly. The ideal candidate will have extensive experience in both front-end and back-end development, with a strong ability to create seamless web applications. Responsibilities include designing, developing, and maintaining web applications while collaborating with designers and other developers. Proficiency in frameworks such as React, Typescript, Angular, or Vue.js for front-end, and Node.js, , or Ruby for back-end is essential. 

If you are passionate about coding, that does not mind working long hours and working on weekends, enjoys working in a dynamic environment, we want to hear from you!

NOTE: Our client does not require any person that wants to work just 8 hours a day, if that's you, there are many jobs in a bakery etc, so kindly don't apply as its not what they require.","","JavaScript","PHP","Web Development","WordPress","Python","API","","",""
"21 minutes ago","Edit TradingView Indicator script","https://www.upwork.com/jobs/Edit-TradingView-Indicator-script_~021917519513914350823/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","Hello, I have a Tradingview Indicator and I would like to have a setting to make the signal arrows appear bigger and smaller. They are currently either to small or too big.","Python","Scripting","Forex Trading","MQL 4","MetaTrader 4","","NinjaTrader","C#","",""
"24 minutes ago","AI-Agent MVP Development","https://www.upwork.com/jobs/Agent-MVP-Development_~021917518837324709839/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Not sure","We are seeking a skilled developer to create a Minimum Viable Product (MVP) for an AI-Agent. The ideal candidate will have experience in AI development, machine learning algorithms, and software engineering. Your role will involve designing and building the core functionalities of the AI-Agent while collaborating with our team to refine the product vision. If you are passionate about AI and have a proven track record in MVP development, we would love to hear from you. Please provide examples of previous work related to AI or software development.","Python","Artificial Intelligence","API","JavaScript","Prototyping","","","","",""
"26 minutes ago","Scrape PDF Reports → Supabase Database Pipeline","https://www.upwork.com/jobs/Scrape-PDF-Reports-Supabase-Database-Pipeline_~021917518289589286645/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","I need a developer to extract data from our multi-year PDF reports and load it into a Supabase Postgres database using a provided normalized schema. All the details, including mapping rules and schema definitions, live in this repo:
https://github.com/spiral25/tagz_scraper1

You’ll Get
 - Source PDFs: Annual harvest reports (2019–2024)
 - Mapping Rules
 - Target Schema: SQL definitions in the repo

Deliverables
1 Populated Database
2 Reusable Script

Page structure is broken, a simple copy-paste misplaces several lines every time which is unacceptable. Data transfer must be accurate.

Mention the species name from the report in your response.","Python","ETL","PDF Conversion","Supabase","PostgreSQL","","","","",""
"29 minutes ago","Full Stack Development Support","https://www.upwork.com/jobs/Full-Stack-Development-Support_~021917517610367891189/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $18.00","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","We are looking for an experienced Frontend Developer to help with resolving some backlog issues and bug fixes on an existing project. The application is built using React.js on the frontend and  (likely Django or Flask) on the backend, so a good understanding of both is essential.

Key Requirements:

Strong expertise in React.js

Familiarity with  backend systems

Ability to identify, debug, and fix UI/UX issues efficiently

Excellent communication skills — you’ll be interacting directly with our client, so clear and timely updates are a must

Available to start immediately and commit to short-term or potentially ongoing work","Python","React","Node.js","JavaScript","","Python","","","Python",""
"34 minutes ago","Build & Maintain Scholarship-Scraper (, Web Scraping + ML)","https://www.upwork.com/jobs/Build-amp-Maintain-Scholarship-Scraper-span-class-highlight-Python-span-Web-Scraping_~021917516182501970090/?referrer_url_path=/nx/search/jobs/","Hourly: $30.00 - $50.00","Expert","Est. time:","More than 6 months, Less than 30 hrs/week","We need a developer to build and maintain an automated pipeline that - given a richly-tagged student profile - discovers 400-500 local / niche scholarships, extracts key fields (deadline MM/DD/YYYY, amount, contact, etc.) and exports a CSV that matches our template.
You'll own: query generation, web crawling (Google API/Bing, PDF & HTML parsing), keyword-based relevance scoring, deduplication, and light ML ranking.
Stack:  3.9+, Requests/Playwright/Selenium, BeautifulSoup, pandas.
Start with a working prototype, iterate to production, then handle 2–4 student profiles per week.

Scope & Budget
• Fixed price for MVP, then hourly retainer for ongoing cases.
• First delivery due 7 days after contract start.

Must-have Skills
Web scraping, , data cleaning, CSV, regex, basic ML/NLP, Git.","Python","Data Scraping","Web Crawling","CSV","Regex Writing","Python","Natural Language Processing","Git","Python",""
