"text-light 2","air3-link","air3-link href","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight","highlight 2","highlight 3","highlight 4","highlight 5","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","highlight-color 2","air3-token 5","air3-token 6","air3-token 7","highlight 6","highlight 7"
"9 minutes ago","Replit Software Engineer (Contract, NDA Required)","https://www.upwork.com/jobs/Replit-Software-Engineer-Contract-NDA-Required_~021917574866857270503/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","About the Role
We are hiring a highly skilled Replit Software Engineer to build secure, user-facing applications entirely within the Replit platform. This role demands hands-on software engineering skills with deep familiarity in using Replit’s -based IDE, frameworks, and deployment tools.

The project is classified and will require the successful candidate to sign a Non-Disclosure Agreement (NDA) prior to onboarding. This is a code-driven position requiring end-to-end  development capabilities within the Replit ecosystem.

Key Responsibilities

Design and implement full-stack applications inside Replit using supported frameworks (e.g., HTML/CSS/JS, Flask, or Express).

Write, test, and maintain clean, modular, and scalable code.

Build responsive front-end interfaces and connect them to backend logic and APIs.

Utilize Replit DB or equivalent for persistent data storage.

Securely manage environment variables and API credentials via Replit’s Secrets Manager.

Configure and manage deployments using Replit’s Static, Autoscale, or Reserved VM options.

Debug, optimize, and monitor  performance using Replit’s built-in tools.

Document  structure, configuration, and logic for internal use.

Adhere to confidentiality and security protocols at all times.

Required Qualifications

Proven experience building complete applications inside Replit (portfolio or working demos required).

Strong coding ability is required—this is not a no-code or drag-and-drop role.

Proficiency in JavaScript (client-side), Python (Flask), or Node.js (Express).

Solid understanding of front-end architecture, component structuring, and responsive design.

Ability to work independently in a cloud-based IDE and meet development deadlines.

Comfortable working within a secured and confidential project environment.

Preferred Qualifications

Familiarity with Replit-specific tools: Replit DB, Secrets Manager, Deployments, Preview, Console.

Experience integrating third-party APIs (e.g., OpenAI, Stripe, Firebase).

Understanding of user authentication, data security best practices, and RESTful architecture.

Compensation
Competitive hourly or fixed-project rates based on experience and scope. Terms to be finalized post-screening.

 Process

Submit resume and live examples of past Replit projects or public Repls.

Complete a brief technical review of Replit proficiency.

Sign NDA to begin onboarding and receive full project details.","web","application","application","application","Application","Web Application","Software Debugging","Full-Stack Development","AI App Development","Software Architecture & Design","","","","","",""
"12 minutes ago","Build a Customizable SMS Marketing Platform (Integrated with Safaricom or Africa’s Talking)","https://www.upwork.com/jobs/Build-Customizable-SMS-Marketing-Platform-Integrated-with-Safaricom-Africa-Talking_~021917574166856215110/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","1 to 3 months, Not sure","Job Description:

We’re looking for an experienced  developer to build a simple, clean, and scalable SMS marketing platform that allows Kenyan businesses to send bulk SMS to their customers.

This will be a -based dashboard (like a mini Mailchimp, but for SMS) that integrates with an SMS API (Africa’s Talking or Safaricom) and supports M-Pesa payment functionality.

⸻

Core Features:
	1.	User Dashboard:
	•	User registration & login
	•	Upload phone numbers (CSV or manual entry)
	•	Compose & send SMS to multiple recipients
	•	View SMS balance and campaign history
	2.	Admin Dashboard:
	•	Manage users & SMS credit balances
	•	See delivery reports
	•	Manually add/remove SMS credits
	•	Monitor system usage
	3.	Integrations:
	•	Safaricom Daraja API or Africa’s Talking API for SMS delivery
	•	M-Pesa (Paybill or Till) integration for payments (via Daraja or gateway partner)
	4.	Optional Features:
	•	Campaign scheduling (send later)
	•	Custom Sender ID (optional input)
	•	Auto top-up logic for bulk buyers

⸻

Tech Stack (suggested, flexible):
	•	Frontend: React / Vue / plain HTML-CSS-JS
	•	Backend: Node.js / Django / PHP (your choice)
	•	Database: Firebase / MySQL / MongoDB
	•	API Integration: Africa’s Talking or Safaricom SMS + M-Pesa Daraja

⸻

Deliverables:
	•	Full working  app hosted online (test and production version)
	•	Admin + user dashboards
	•	Fully working SMS sending logic
	•	Payment workflow (users top up and get SMS credits)
	•	Source code & setup documentation

⸻

Ideal Candidate:
	•	Has experience with API integrations (especially SMS or payment)
	•	Can communicate clearly and show progress
	•	Has worked on bulk SMS, email marketing, or fintech tools
	•	Bonus: experience with Safaricom APIs, M-Pesa, or local payment platforms

To Apply, Please Include:
	•	A short note on how you’d build this
	•	Example of any similar tools you’ve built
	•	Your estimated timeline & preferred tech sta","web","web","web","","","Web Application","API Integration","React","API","","Website Redesign","+2","","","",""
"14 minutes ago","Copy Trading Software Development for Multiple Platforms","https://www.upwork.com/jobs/Copy-Trading-Software-Development-for-Multiple-Platforms_~021917573627597279402/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$1,500.00","We are seeking an experienced developer to create a copy trading software similar to TradersConnect. The software should support MT4, MT5, Match Trader, TradeLockers, and Ctrader, with robust API integration. The ideal candidate will have a strong background in trading platforms and API development to ensure seamless functionality and user experience. If you have a passion for trading technology and can deliver high-quality software, we would love to hear from you.","","","","","","Web Development","JavaScript","API","Data Entry","PHP","Desktop Application","+4","Content Writing","Python","",""
"16 minutes ago","Looking for a Skilled Full Stack  Developer (Long-Term Opportunity)","https://www.upwork.com/jobs/Looking-for-Skilled-Full-Stack-span-class-highlight-Web-span-Developer-Long-Term-nbsp-Opportunity_~021917573100805554127/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$5.00","We're on the hunt for a reliable and talented Full Stack  Developer who can help us build, maintain, and scale  applications for a variety of clients and internal projects.

This is NOT just a one-off job. We’re looking to build a long-term relationship with someone who is passionate, detail-oriented, and can bring creative solutions to the table.

🚀 Your Responsibilities:

    Develop and maintain front-end and back-end components of  applications.

    Collaborate with our design and product teams to deliver pixel-perfect, responsive UIs.

    Work with databases, APIs, and third-party services.

    Optimize  for maximum speed and scalability.

    Debug, test, and resolve technical issues.

    Deliver clean, well-documented, and efficient code.

📌 Ideal Tech Stack: (You don’t have to know them all, but familiarity with most is preferred)

    Frontend: HTML5, CSS3, JavaScript, React.js / Vue.js / Next.js

    Backend: Node.js / Express / PHP / Laravel / Django

    Database: MongoDB, MySQL, PostgreSQL

    Tools: Git, Docker, RESTful APIs, CI/CD pipelines

✅ What We’re Looking For:

    Proven experience in full stack development (portfolio/GitHub links required)

    Strong understanding of best coding practices and security

    Problem-solving mindset with the ability to work independently

    Fluent communication skills and regular progress updates

    Bonus if you have experience with CMSs (WordPress, Shopify), or devops knowledge","Web","web","web","application","","","JavaScript","Django","PHP","HTML5","","","Node.js","CSS 3","Web",""
"32 minutes ago","Full Stack Developer","https://www.upwork.com/jobs/Full-Stack-Developer_~021917568922870658805/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$700.00","Job Description: We at IT Jobs Factory are seeking a highly skilled and reliable freelance Full Stack Developer to design and build a comprehensive e-learning platform.
This platform will serve students and professionals by offering structured courses, live classes, assignments, assessments, progress tracking, mentorship sessions, and job assistance features. The ideal candidate should have strong experience in both front-end and back-end development, cloud deployment, LMS integrations, and a good understanding of user experience for educational platforms.

Project Scope:
1. Design and develop a responsive and scalable multi-user platform.
2. User roles: Student, Mentor, Admin
Features:
- Course catalog with structured learning paths.
- Video hosting integration (YouTube, Vimeo, or custom).
- Live class scheduling and integrations (Zoom/Google Meet APIs)
- Assessments, quizzes, and assignments module.
- Certificate generation.
- Doubt forums/discussion board.
- Student dashboard with progress tracking
- Mentor scheduling and 1:1 session booking
- Payment gateway integration (Razorpay/Stripe)
- Admin panel to manage content, users, payments, and analytics.
- Job support area (resume upload, job board, etc.)
Technical Requirements:

Frontend:
-React.js (preferred with Next.js)
-Tailwind CSS or Bootstrap
-HTML5, CSS3, JavaScript (ES6+)
-Responsive, mobile-first design principles
-Progressive  App (PWA) understanding is a bonus

Backend:
-Node.js with Express.js
-RESTful APIs (GraphQL optional)
-Authentication & Authorization (JWT, OAuth2, Role-based access)

Database:
-MongoDB (preferred) or PostgreSQL
-Mongoose/Sequelize ORM

Integrations:
-Video platform APIs (e.g., Vimeo, YouTube, or Zoom SDK)
-Payment gateways (Razorpay, Stripe)
-Email/SMS notifications (e.g., SendGrid, Twilio)
-Calendar integrations for scheduling

DevOps & Deployment:
-Git, GitHub (version control)
-Docker (basic containers for dev/prod environment)
-CI/CD pipelines (GitHub Actions preferred)
-Cloud hosting (AWS/GCP/Vercel/Render)

Requirements:
- 3–5+ years of hands-on full stack development experience
- Proven experience building scalable, production-level SaaS or e-learning platforms.
- Familiar with LMS models and educational workflows.
- Strong communication and timely delivery skills
- Comfortable working independently and giving weekly progress updates.
- Willing to sign NDA and contract (if required)

Start Date: Immediately
Estimated Duration: 2-3 Months
Please include in your proposal:

How to Apply:
Please include in your proposal:
- Resume or Upwork profile.
- Portfolio or links to similar platforms you've built
- GitHub or code samples.
- Estimated timeline and cost.
- Brief on how you'd approach this project.","Web","","","","","Web Development","SEO Content","Java","React","HTML","Web Application","+1","API Integration","JavaScript","",""
"38 minutes ago","App Development for Geolocation-Based Restricted Areas","https://www.upwork.com/jobs/span-class-highlight-Web-span-App-Development-for-Geolocation-Based-Restricted-Areas_~021917567635300286415/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $35.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a skilled  developer to create a   that displays restricted areas on a map based on the user's location. The admin will define the restricted areas, and the app should provide an intuitive user experience with clear map visuals. Familiarity with mapping APIs, geolocation services, and user interface design is essential. The project aims to enhance safety and compliance in defined regions. If you have experience in similar projects, we would love to hear from you!","web","web","application","","","Web Development","JavaScript","PHP","Android","Java","","","","","Web",""
"45 minutes ago","Developer (WordPress) – GVE London | Supercar Showroom","https://www.upwork.com/jobs/span-class-highlight-Web-span-Developer-WordPress-GVE-London-Supercar-Showroom_~021917565666992836778/?referrer_url_path=/nx/search/jobs/","Hourly: $10.00 - $30.00","Expert","Est. time:","More than 6 months, 30+ hrs/week","GVE London, one of the UK's leading supercar dealerships, is looking for a highly skilled and proactive  Developer to support, maintain, and evolve our digital presence. Our  is the central hub of our business, showcasing luxury and supercars to a global audience, and we are seeking a developer who is not only technically proficient but also passionate about delivering seamless user experiences and performance excellence.

Key Responsibilities:

 Maintenance & Upkeep:
Regularly monitor and maintain our WordPress , ensuring all plugins, themes, and core files are up-to-date and secure.

Feature Development:
Design and implement new functionalities that improve user experience, conversion rates, and internal processes (e.g., vehicle listings, customer login areas, form improvements, lead capture enhancements).

AI Integration:
Leverage AI tools (e.g., ChatGPT, Midjourney, Gemini) to assist with content generation, customer interaction features, UI/UX suggestions, SEO improvements, and creative development.

Bug Fixing & Optimisation:
Identify, debug, and resolve technical issues promptly. Continuously optimise for speed, SEO, and responsiveness across devices.

UI/UX Improvements:
Propose and implement upgrades to the visual layout and navigational flow, using analytics and heatmaps where necessary to back decisions.

SEO Best Practices:
Collaborate with marketing to ensure on-page SEO standards are implemented, and assist with structured data, meta tags, and performance enhancements.

Analytics & Tracking:
Ensure Google Analytics, Google Tag Manager, and other marketing tools are working accurately. Help implement A/B testing when needed.

API & Third-Party Integrations:
Maintain and expand integrations with CRMs (e.g., Salesforce), live chat, finance  tools, and vehicle valuation plugins.","Web","website","Website","site","application","Web Development","WordPress","","","","Web Design","","","","Web",""
"46 minutes ago","Full-Stack Developer for FaceAI Wrapper App","https://www.upwork.com/jobs/Full-Stack-Developer-for-FaceAI-Wrapper-App_~021917565538043154602/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$50.00","We’re looking for a skilled Full-Stack Developer to help build a wrapper  for FaceAI – an advanced AI tool that enables users to try on clothes virtually, enhance photos, and perform image-to-image transformations.

Responsibilities:

Develop the backend using Python with Flask or FastAPI

Build the frontend using React

Enable users to upload images, view previews, and track the AI processing progress

Create and integrate RESTful APIs between the front and back ends

Ensure app performance, scalability, and smooth user experience

Collaborate with designers and AI engineers to bring the app to life

Requirements:

Strong experience with Python (Flask or FastAPI) and React

Familiarity with image processing libraries such as OpenCV or Pillow

Understanding of Redux and basic machine learning concepts

Experience with containerization tools like Docker

Strong communication and teamwork skills

Preferred Qualifications:

Experience working with cloud platforms such as AWS, Google Cloud, or Azure

Background in AI-powered tools, especially in the fashion or e-commerce space

Prior experience building scalable  apps for a wide user base

This is an exciting opportunity to contribute to a cutting-edge AI product and help make it accessible to a broad audience. We’re looking for someone who is passionate about building intuitive, efficient tools that solve real user problems.","application","web","","","","Web Application","Android","JavaScript","Java","Node.js","","","API","Mobile App Development","",""
"1 hour ago","Image Capture for AI tool","https://www.upwork.com/jobs/Image-Capture-for-tool_~021917557188379267242/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $35.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We’re seeking skilled developers to create a   that captures images via Twilio MMS and stores them in AWS S3, integrating with our existing Voice AI and Digital AI tools. The app will receive MMS images from users prompted by Voice AI calls or Digital AI chats and save them securely for warranty claim support and technician diagnoses.

Key Deliverables:

Build a  app UI to display received images and analysis results.
Integrate Twilio MMS to capture user-sent images from text messages.
Store images in AWS S3 with secure access.
Connect to Voice AI (call prompts) and Digital AI (chat prompts) APIs to trigger MMS image uploads.

Requirements:

Proficiency in  development (e.g., Node.js, React, or similar frameworks).
Experience with Twilio MMS, AWS S3, and API integrations.
Ability to deliver a clean, functional UI with secure storage and AI tool sync.

Timeline & Budget:

Duration: 1-2 weeks—target completion by May 14, 2025.
Budget: $500-$750 (fixed)

Submit: Examples of  projects with Twilio or AWS integrations, your approach to meet the timeline and budget, and confirmation of immediate availability.","web","application","web","web","web","","Next.js","Python","RESTful API","Artificial Intelligence","","","","","",""
"1 hour ago","App Development for AI Camera Live Feeds and Analytics","https://www.upwork.com/jobs/span-class-highlight-Web-span-App-Development-for-Camera-Live-Feeds-and-Analytics_~021917554613351783655/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $35.00","Intermediate","Est. time:","1 to 3 months, 30+ hrs/week","We are seeking a skilled developer to create a   that integrates AI camera live feeds, alert systems, remote control capabilities, and crowd heat mapping analytics. The ideal candidate will have experience in real-time data processing and user-friendly interface design. You will work closely with our team to deliver a robust platform that enhances monitoring and analysis of crowd dynamics. If you have a passion for AI and strong development skills, we want to hear from you!","web","application","","","","Amazon Web Services","Python","JavaScript","React","Java","","","","","Web",""
