"text-light 2","air3-link","air3-link href","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight","highlight 2","air3-token","air3-token 2","air3-token 3","air3-token 4","air3-token 5","air3-token 6","air3-token 7"
"2 days ago","Web3 Frontend Developer Needed","https://www.upwork.com/jobs/Web3-Frontend-Developer-Needed_~021916820053123277830/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","More than 6 months, Less than 30 hrs/week","We’re looking for a frontend developer who’s solid with TypeScript and can move fast across Vite + /Next.js projects.

Must have experience with:

-TypeScript (mandatory)

-Vite +  / Next.js

-RPC and REST APIs

-Web3 libraries (Web3.js, Ethers.js, Reown)

-Git/version control workflows

You’ll be working closely with our backend and smart contract team, handling wallet connectors, web3 interactions, and frontend integration tasks.

We need someone who is:

-Reliable

-Communicative

-Fast with turnaround times

-Comfortable working in a fast-moving, flexible setup

If you know how to get Web3 frontends live and running cleanly, and you like working in a startup-style pace, hit us up!","React.js","React.js","TypeScript","JavaScript","React","","","",""
"2 days ago","Looking for a Small Team to Develop a Marketplace + Booking Engine (Startup Phase)","https://www.upwork.com/jobs/Looking-for-Small-Team-Develop-Marketplace-Booking-Engine-Startup-Phase_~021916808460194128805/?referrer_url_path=/nx/search/jobs/","Hourly: $10.00 - $20.00","Intermediate","Est. time:","3 to 6 months, Hours to be determined","We are developing a new international platform focused on connecting local activity providers with travelers worldwide.

→ Important: This is an early-stage project, so we are looking for realistic and startup-friendly pricing, with a focus on building a strong MVP first and growing together later.

👨‍💻 We are looking for a small, reliable, and experienced team (or agency) to help us build:

🔹 MAIN FEATURES TO DEVELOP:

🛒 A full activities marketplace with advanced search, smart filters, categories, destinations, and dynamic offers.

📅 A complete booking engine with real-time availability, customizable calendars, booking forms, price management, and seat control.

🧩 A multi-portal system including: 

Operator portal: create and manage activities, calendars, prices, availability, view bookings, customer info, etc.

Admin portal: approve activities, manage operators, track bookings, commissions, analytics.

Customer portal: view bookings, request cancellations, download tickets with QR codes.

🌎 SEO-optimized multilingual web architecture, including clean URLs, custom metadata, sitemap automation, and multi-currency display.

💳 Custom checkout flow fully integrated into the site supporting Stripe, PayPal.

🔌 Basic API integrations with external booking management systems to synchronize availability and process bookings automatically.

❌ Cancellation management system allowing users to request cancellations, subject to approval and commission protection policies.

🛠️ TECHNOLOGY STACK WE ARE CONSIDERING:

Backend: Node.js + NestJS

Frontend: Next.js ( framework)

Database: PostgreSQL

Mobile apps (Flutter) will be considered in a later phase (not included now)

🎯 WHAT WE OFFER:

Clear documentation outlining all the MVP features and structure (shared after initial selection).

Workflow organized by milestones with clear deliverables.

Opportunity for a long-term collaboration if the MVP is successful.

🔎 LOOKING FOR:

Small agencies or teams with real experience building marketplaces or booking platforms.

Clean, scalable code practices.

Fluent communication (English or Spanish acceptable).

Positive, collaborative working attitude.

📩 PLEASE INCLUDE IN YOUR PROPOSAL:

Examples of similar marketplaces, booking systems, or SaaS platforms you have developed.

Your suggested tech stack and why you recommend it.

An initial rough estimate of timeline for MVP delivery.

🚀 We are ready to start as soon as we find the right partner. Thank you!","React.js","","Node.js","Next.js","PostgreSQL","API Development","SaaS Development","Web Application Development",""
"2 days ago","Full-Stack Web Developer & Designer for Climate-Fintech MVP","https://www.upwork.com/jobs/Full-Stack-Web-Developer-Designer-for-Climate-Fintech-MVP_~021916792286277613791/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$2,000.00","We are seeking an experienced Full-Stack Web Developer and Designer to help launch our Climate-Fintech MVP. The ideal candidate will have a strong understanding of both front-end and back-end technologies, with a passion for creating sustainable solutions. You will work closely with our startup team to design and develop an intuitive platform that effectively addresses climate challenges. If you are innovative, dedicated, and excited about making an impact in the fintech space, we would love to hear from you!
Location: Remote (UK time zone preferred)
Start Date: Immediate
Duration: 2–4 weeks intensive (MVP build and private beta)
Budget: Competitive, based on experience

About Us
should be empowered to profit from reducing their environmental impact, not just corporations.

We are preparing for an MVP launch in the UK and seek a multi-skilled, self-driven web developer and designer to help bring our clean, consumer-friendly platform to life.

You will work closely with the founder under a detailed but flexible technical and user journey brief (already prepared).

The Role
You will be end-to-end responsible for designing, coding, and deploying the MVP.
We need someone who is comfortable building both a responsive, modern front end and a secure, simple backend.
You’ll also need an eye for clean UI/UX since our product must build immediate trust with users.

Responsibilities:

Build a clean, mobile-optimized web app ( or similar preferred)

Design user journeys for onboarding, verification, personal dashboards, and claims submission

Implement secure login, two-factor authentication (2FA), and account management

Handle file uploads securely (user documents and data)

Set up a lightweight admin panel for internal verification workflows

Design and deploy to cloud hosting with HTTPS and GDPR-compliant user data protection

Deliver a polished, professional user experience aligned with a clean energy lifestyle brand

Tech Stack Preferences:

 (or Next.js if SEO optimization is easy)

Node.js/Express.js backend

PostgreSQL or MongoDB

AWS S3 or equivalent for file storage

Cloud hosting (Netlify, Vercel, AWS LightSail, or similar)

Twilio or equivalent for SMS OTP integration

Skills and Experience:

3+ years experience building full-stack web applications

Strong front-end design skills (Figma, Sketch, Canva, or equivalent skills expected)

Experience handling secure login, document uploads, GDPR-level data protections

Ability to work independently with minimal supervision, while reporting weekly

Good written English for end-user text (buttons, CTAs, help prompts)

Bonus: Previous work in climate, energy, fintech, or consumer rewards platforms

You Are:
Reliable, clear communicator, able to give realistic estimates

Flexible and creative under startup conditions

Highly quality-driven but pragmatic about MVP deadlines

Excited to work on a product that rewards positive action — without preaching

To Apply:
Please send:

Portfolio or links to 2–3 clean web apps or MVPs you've built

A short (max 200 words) explanation of why this project interests you

Your availability (hours/week or days/week)

Your rate (either project-fixed price or retainer-based)

Deadline for Applications: Ongoing review – aiming to hire within 5 days.","React.js","React.js","Prototyping","Web Design","Web Development","JavaScript","UX & UI","",""
"2 days ago","Full Stack Developer (Python + React) – AI System for Report Analysis","https://www.upwork.com/jobs/Full-Stack-Developer-Python-React-System-for-Report-Analysis_~021916749228280653413/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $35.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","🛠️ Full Stack Developer (Python + React) – AI System for Daily Progress Report Analysis in Construction Projects
Overview:
We are building an AI-powered system to ingest, standardize, audit, and summarize Daily Progress Reports (DPRs) submitted from multiple contractors on large construction projects.

You will be responsible for helping create the core application that:

Uploads DPRs (PDFs, Word, Excel, scanned images)

Extracts structured data

Identifies discrepancies across reports

Generates summary reports and dashboards

✨ What You'll Build:
DPR Upload Module (Web Portal)

OCR/Data Parsing Engine (Python OCR + parsing tools)

Discrepancy Checker (Logic-based data validation engine)

Summary Report Generator (Web View + PDF/Excel Export)

Basic Visualization Dashboard (Activities flagged, Locations, Teams)

🧠 Key Skills We Need:
Python (FastAPI or Flask experience preferred)

 (or other modern web frameworks)

OCR Software (Tesseract, pdfplumber, PyMuPDF, etc.)

PostgreSQL (or other relational database experience)

API Development (RESTful APIs)

✅ Ideal Candidate:
Has worked on document ingestion, data validation, or construction/field reporting systems

Strong ability to design modular, scalable backend services

Fluent in database structure design for task and time-based data

Comfortable with basic OCR/NLP libraries and practical AI integration

Focused on clear, fast delivery and well-documented code

🚀 Project Timeline:
Immediate start (next 1–2 weeks)

Phase 1 estimated 6–8 weeks (initial MVP)

Potential for ongoing work (additional modules and feature expansions)

📋 To Apply:
Please include:

A short description of your relevant experience

Examples of web apps you’ve built (especially involving document parsing or reporting)

A quick comment about how you would approach parsing different DPR formats

Your availability over the next 3 months

💬 Bonus Screening Question:
""If you had to automatically compare activity durations across multiple DPRs with different structures, how would you design the database tables to do that efficiently?""","React.js","","PostgreSQL","Python","FastAPI","OCR Software","","",""
"2 days ago","Senior React Developer Needed for .NET UI Framework Project","https://www.upwork.com/jobs/Senior-React-Developer-Needed-for-NET-Framework-Project_~021916747936641794766/?referrer_url_path=/nx/search/jobs/","Hourly: $25.00 - $47.00","Expert","Est. time:","More than 6 months, Less than 30 hrs/week","We are seeking a Senior React Developer to join our team for an exciting project involving a .NET UI framework for building internal business apps using AI.

The ideal candidate will have extensive experience in  and a general understanding of .NET/C#.

Here's a short demo of what we're doing:

https://www.youtube.com/watch?v=pQKSQR9BfD8

You will be responsible for improving the React rendering layer for our Ivy UI framework.

We have an AI FIRST policy. If selected, you will have to take a 30-minute test in which you are given a task to solve using React and AI while recording yourself and your screen.

DO NOT contact me outside of Upwork.

NO agencies. Only interested in talking to the person who will do the actual work.","React.js","","TypeScript","React","C#","","","",""
"2 days ago","Developer Needed for Building a Secure Self-Assessment Tool (Drupal or Standalone App)","https://www.upwork.com/jobs/Developer-Needed-for-Building-Secure-Self-Assessment-Tool-Drupal-Standalone-App_~021916729795587310850/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$300.00","We are looking for a reliable and talented web developer (or small team) to build a separate web application using JavaScript (frontend and backend).

The app will serve as a secure self-assessment tool for an Australian government-related organization.
It will NOT be built inside the Drupal CMS — it will be a standalone app that will later be embedded or linked from a Drupal website.

This project is considered an entry opportunity.
Successful completion will lead to ongoing work and an offer to join our team for long-term collaboration.

Core Features:
Multi-page questionnaire (1-5 confidence rating per skill)

Two assessment pathways (Foundation and Practice)

Temporary use of user names/emails (for display and email sending only — never saved)

Results page showing scores and heatmap-style chart

Download results as PDF

Email results to self (via Mailgun or similar API)

Invite manager or employee to complete assessment

Side-by-side result comparison after both assessments

Simple feedback form (survey after results)

Admin dashboard for basic reporting (usage data and score trends)

Technical Requirements:
Strong experience in modern JavaScript frameworks (preferred: , Next.js, Vue.js)

Backend API (preferred: Node.js + Express, or similar lightweight backend)

Integration with secure email service (Mailgun or similar)

Frontend must fully meet WCAG 2.0 AA accessibility standards

Mobile-responsive design

Secure handling of all data (strict privacy compliance)

Charting library experience (e.g., Chart.js, D3.js)

PDF generation (client or server side)

Nice to Have:
Experience building apps for government or public sector

Knowledge of WCAG accessibility best practices

Experience embedding standalone apps into CMS-driven websites

Deliverables:
Fully working JavaScript web app (frontend + backend)

Full source code (GitHub or GitLab)

Basic admin instructions (how to edit questions, view reports)

End-user guide (for simple onboarding)

Documentation on how to embed the app into an external Drupal site","React.js","","JavaScript","PHP","API","Web Development","Drupal","Web Application","Java"
"2 days ago","Front End Developer Needed for React App Development","https://www.upwork.com/jobs/Front-End-Developer-Needed-for-React-App-Development_~021916693643238790028/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$1,500.00","We are seeking a skilled front end developer to create a React application for our IoT device utilizing a Raspberry Pi. The layout for the app has already been designed, and we need someone who can bring it to life with clean, functional code. The ideal candidate should have experience working with IoT applications and be comfortable in a collaborative environment. If you are passionate about building user-friendly interfaces and have a strong understanding of React, we would love to hear from you!

**Relevant Skills:**
- 
- JavaScript
- HTML/CSS
- IoT Development
- Raspberry Pi Experience
- UI/UX Design","React.js","","React","JavaScript","CSS","HTML","React Native","",""
"2 days ago","MERN Stack Developer Needed: Add Google Login, Admin Features, and New Page","https://www.upwork.com/jobs/MERN-Stack-Developer-Needed-Add-Google-Login-Admin-Features-and-New-Page_~021916689077760765808/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$80.00","Hi,
I am looking for a skilled MERN stack developer who can help me with the following tasks for my website (currently deployed on Render):

Tasks:

Google Sign-up and Sign-in Integration
Implement Google OAuth so users can register and log in with their Google accounts.
Admin Panel Updates
Add functionality to block users, remove users, and manually add users.
Display the total number of registered users next to the ""Deadline"" section.
Add a New Web Page
Create one additional simple webpage (details will be provided).
Tech Stack:

Frontend: 
Backend: Node.js + Express.js
Database: MongoDB (using Mongoose)
Hosting: Render
Requirements:

Experience with Google OAuth implementation
Strong experience with the MERN stack
Ability to work with an existing codebase
Clean and efficient coding
Good communication skills
If you are confident you can complete these tasks quickly and professionally, please apply with examples of similar work you have done.

Looking forward to working with you!","React.js","","Node.js","React","Web Development","","","",""
"2 days ago","Frontend Developer (React) – Website Implementation","https://www.upwork.com/jobs/Frontend-Developer-React-Website-Implementation_~021916686136902636428/?referrer_url_path=/nx/search/jobs/","Hourly: $25.00 - $30.00","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","📄 Description:
We are looking for a talented Frontend Developer with experience in React to build a fully responsive website (landing + 3 pages) from a Figma design. In addition to the UI work, a small integration with our backend API (e.g., user signup form) will be required

This is a focused, one-time project with the potential for more work in the near future

✅ Responsibilities:
• Convert Figma design into a pixel-perfect, responsive React landing page
• Write clean, modular, and reusable code
• Ensure compatibility across modern browsers and devices
• Optimize for performance (loading speed, SEO best practices)
• Push clean and documented code to a GitHub repository
• Collaborate with founder (async) to clarify minor design/interaction details

🛠️ Requirements:
• Fluent English
• Strong proficiency in  (functional components, hooks, etc.)
• Experience with CSS-in-JS, Tailwind CSS, or styled-components
• Ability to work with Figma and translate designs accurately
• Familiarity with GitHub workflows and PRs
• Strong attention to detail and quality

⏱️ Timeline:
Estimated completion within 1 week of project start","React.js","","Landing Page","Website","Front-End Development","Responsive Design","UI Animation","React","CSS"
"2 days ago","Looking for Full Stack Developer Who Loves Problem Solving - Next.js//Supabase/MongoDB","https://www.upwork.com/jobs/Looking-for-Full-Stack-Developer-Who-Loves-Problem-Solving-Next-span-class-highlight-React-span-Supabase-MongoDB_~021916679943546016284/?referrer_url_path=/nx/search/jobs/","Hourly: $5.00 - $10.00","Intermediate","Est. time:","More than 6 months, 30+ hrs/week","Full-Stack Developer for Next.js App with Supabase and OpenAI Integration

We are a new startup looking for an experienced full-stack developer to help complete an innovative app built with Next.js. The app integrates Supabase for data management, OpenAI APIs, and Stripe for payments. Key features include live voice chat, live text transcription, user dashboards, public feeds, and an explore page. 

The ideal candidate will have a solid background in full-stack development with these technologies and a strong eye for creating seamless user experiences. Experience in turning user sessions into automated social media content and iOS development is a plus.

Responsibilities:
- Complete and optimize existing web app features
- Integrate and manage APIs (OpenAI, Stripe)
- Enhance live voice chat and text transcription functionalities
- Develop and refine user dashboards, feeds, and explore pages
- Collaborate on future iOS app development

Qualifications:
- Proficiency in Next.js and Supabase
- Experience with API integration (OpenAI, Stripe)
- Strong front-end and back-end development skills
- Familiarity with live chat and transcription technologies
Bonus: Experience with iOS development and social media automation

Opportunities:
- Long-term role available: If you perform well, there’s opportunity for ongoing work as we expand to iOS and beyond.
- Creative freedom: We value and encourage your ideas for improving UX, architecture, and performance.
- Potential for leadership: As the team grows, early hires will have the first shot at leading engineering teams or owning major product features.
- Performance bonuses: Potential for milestone-based bonuses for hitting critical deliverables (e.g. scaling to 1,000 users, etc.)
- Paid learning: We’re open to covering small course fees or certifications if they directly help you build and scale the product.
- Flexible hours: We care more about output and communication than clocking 9–5 hours.
Work directly with founders: No corporate middlemen - decisions are fast, you’ll have direct access to people who actually care about building this properly.

How to Apply:
If this sounds like the perfect opportunity for you, please send:

- A short message introducing yourself and why you’d be a good fit
- A link to your portfolio, GitHub, or any relevant previous work that shows detailed experience with Next.js, Supabase, OpenAI APIs, or Stripe","","","Next.js","Web Application","AI App Development","Database Development","Payment Gateway Integration","SQL",""
