"text-light 2","air3-link","air3-link href","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","air3-token 5","air3-token 6","highlight"
"6 hours ago","Social Media Scraper","https://www.upwork.com/jobs/Social-Media-Scraper_~021917432846147434229/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","I need someone to create a simple bio data scraper for social media platforms. There are two platforms I will provide more context on the platforms and what is exactly needed after you contact me.","Python","Data Extraction","Web Scraping","Web Crawling","Selenium WebDriver","Selenium","Data Scraping",""
"6 hours ago","Scrapping + app development","https://www.upwork.com/jobs/Scrapping-app-development_~021917430546949876294/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","we are looking for proposal to finish our platform.
our platform will be similar to yelp but for specific industry professionals as well as general population. 
we will need to develop our internal master database from scrapped data from multiple platforms.  data scrapped from each platform must be curated, validated, and merged prior to being brough into our platform.  categorization of every company correctly is the key to success for our platform.
for data scrapping we need an expert as some of the platform we have to scrap will consist challenging walls.
would love to hear your experience on AI as we're looking for industry leading AI expert to implement AI in our datascrapping as well as data cleaning and merging.
you will also help with app/website UI design.
company listed on our master database will be able to create pro plan to modify their company information.
we have already scrapped two platforms so far.
when submitting proposal, please provide app you have developed that is similar to above mentioned platform along with data points.  
your proposal shall contain scope that is included. breakdown per each scope as much as feasible and estimated timeline.
success of this app will lead to second platform development which is in pre-planning stage.
we look forward to getting your serious proposal.","","Data Scraping","Desktop Application","","","","",""
"6 hours ago","Substack user crawler","https://www.upwork.com/jobs/Substack-user-crawler_~021917429421095565045/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$100.00","We need a script that can find all user profiles on Substack. The script should be written in  and should allow us to extract:

Their user handle
Associated publications
Follower/subscriber counts
Biography

This should be a relatively straightforward job and will be spot checked for completion by looking at whether it has found a random set of users.","Python","Web Crawling","","","","","","Python"
"6 hours ago","AI Developer Needed for Sports Video Highlight Detection (, OpenCV, FFmpeg)","https://www.upwork.com/jobs/Developer-Needed-for-Sports-Video-Highlight-Detection-span-class-highlight-Python-span-OpenCV-FFmpeg_~021917427440206741455/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$1,600.00","We’re developing an AI-powered web platform that processes long-form sports videos to detect key actions and generate highlight reels. We’re looking for a contract-based AI Developer with proven experience in video processing, computer vision, and AI model integration.

Responsibilities:

Use OpenCV (or similar) to analyze full-length MP4 videos
Detect key moments (e.g., fast motion, scene changes, player actions)
Output structured timestamp data in JSON format
Extract video clips using FFmpeg or OpenCV
(Optional) Use a pretrained model (YOLO, SlowFast, etc.) to improve detection
Ideal Skills:

, OpenCV, FFmpeg
PyTorch or TensorFlow
Experience with video classification or action recognition
Familiarity with sports or motion-heavy video footage
Deliverables:

 code and structured JSON output
Sample test video processed with timestamps or highlight clips
Short readme with explanation
Project Scope:

Timeline: 2–4 weeks
Estimated hours: 20–40 total","Python","TensorFlow","AI Development","PyTorch","LangChain","Machine Learning","","Python"
"6 hours ago","Android Profesional Scraper - Advanced","https://www.upwork.com/jobs/Android-Profesional-Scraper-Advanced_~021917422748632521959/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$60.00","We are looking for an Android reverse engineering expert to help us understand and overcome compatibility issues when attempting to access the TipsterLand app from a rooted BlueStacks emulator (Windows). Our goal is to ensure consistent access from this environment for research and data automation purposes, strictly in accordance with fair use and relevant policies.

The app appears to apply several compatibility checks that prevent normal operation in our setup:

Environment Checks: The app detects emulator/rooted environments and prevents login.

Device Integrity: Likely using services such as Firebase App Check or Google's Play Integrity API.

Network Conditions: VPNs have shown partial improvements but are not a full solution.

Our Current Progress:
We have applied basic runtime modifications (e.g., adjusting system properties) with limited success.

We believe the main blocker is related to device validation against Google APIs.

What We Need:
Technical Analysis: Examine app behavior and identify which mechanisms are preventing access in our controlled environment.

Solution Proposal: Recommend safe and compliant technical strategies to enhance compatibility, including script-based configuration or emulator adjustments.

Implementation Guidance: Provide a repeatable solution or documented instructions.

Desired Skills:
Android reverse engineering (JADX, Ghidra, etc.)

Runtime instrumentation (e.g., Frida)

Experience with emulator environments (BlueStacks preferred)

Familiarity with Android system properties and environment detection

Understanding of Firebase App Check and Play Integrity behavior

Deliverables:
A script or set of configurations that allow login on emulator for testing purposes

A summary of key findings and instructions","Python","Java","JavaScript","API","Data Scraping","Android","PHP",""
"6 hours ago","AI Specialist for Patient Acquisition Optimization","https://www.upwork.com/jobs/Specialist-for-Patient-Acquisition-Optimization_~021917421886837929717/?referrer_url_path=/nx/search/jobs/","Hourly: $19.00 - $40.00","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","We are building an advanced, AI-powered engine to optimize every stage of dental patient acquisition via a clearly defined formula (Conversions = Traffic × Visibility & Trust × Referrals × Website Conversion × Scheduling Efficiency). We are looking for a collaborative AI specialist to help design, develop, and integrate custom AI agents for each component of our system.

Project Goals:

- Develop and launch a suite of AI agents:

  - Traffic Optimizer
  - Visibility & Trust Agent
  - Referral Flow Agent
  - Website Conversion Agent
  - Scheduling Efficiency Agent
  - Patient Acquisition Supervisor AI (PASAI)
  - Integrate agents with Monday.com, Slack, Databox, Klaviyo, GA4, and other analytics tools.
  - Ensure seamless, real-time decision-making and automation across the entire patient journey funnel.

Responsibilities:

- Collaborate to define each agent’s core KPIs, logic, and input/output requirements.
- Architect and build AI agents using best-in-class frameworks (OpenAI, LangChain, API integrations, etc.).
- Ensure reliable integration with existing SaaS tools and analytics platforms.
- Create scalable processes and automation pipelines for data-driven optimization.
- Set up robust monitoring, logging, and feedback loops for continuous improvement.
- Document code/scripts and provide operational training to our team.

You’re a great fit if you:

- Have built or deployed custom AI agents/bots (ideally for marketing, SEO, lead generation, or healthcare settings).
- Are comfortable with prompt engineering, workflow automation, and SaaS integrations.
- Have experience with dental, orthodontic, or healthcare-related digital systems (preferred).
- Can translate business goals and data into effective, autonomous agent behavior.
- Communicate clearly and are comfortable collaborating with non-technical stakeholders.

Skills Required:

- AI/ML engineering (, prompt engineering, OpenAI/LLMs)
- RPA, workflow automation (Zapier, APIs, Monday.com automations)
- SaaS and analytics tool integrations (Slack, Klaviyo, Databox, GA4, etc.)
- Digital marketing analytics, conversion optimization
- Healthcare/dental vertical experience (a plus)
- Documentation & onboarding best practices

Project Type:

Phase 1: System architecture and initial agent development.

Phase 2: Ongoing work to refine, monitor, and scale agents.

To Apply:

Please provide:

1. Detailed examples of previous AI/automation projects you have built, especially those involving LLMs, multiple integrations, or agent-like behavior.
2. An overview of your technical skills relevant to this project (languages, frameworks, platforms).
3. Your initial thoughts on how you might approach building the first agent (e.g., the AI Data Analyst interacting with GA4 and Databox).
4. Your availability and hourly rate.","","Lead Generation","Sales","Machine Learning","Artificial Intelligence","Data Analysis","","Python"
"6 hours ago","Cloud Engineer","https://www.upwork.com/jobs/Cloud-Engineer_~021917419408487600298/?referrer_url_path=/nx/search/jobs/","Hourly: $17.00 - $23.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","Looking for DigitalOcean, Amazon AWS Cloud Server engineers with MongoDB expertise. 

Please explain how you are proficient in this tack stack and how you could help build an environment with all the security features.","","DigitalOcean","MongoDB","Amazon Web Services","","","",""
"7 hours ago","Senior NetApp Storage Engineer","https://www.upwork.com/jobs/Senior-NetApp-Storage-Engineer_~021917418382502121642/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","3 to 6 months, Less than 30 hrs/week","We are seeking a Senior NetApp Engineer to design, implement, and manage enterprise-grade NetApp storage solutions for our fast-paced sports marketing organization. This is a critical role within our IT infrastructure team, supporting high-performance data operations across the business.

Key Responsibilities:
- Design and architect NetApp ONTAP storage systems to support enterprise workloads.
- Manage and optimize NetApp data protection tools, including SnapMirror, SnapVault, SnapLock, SnapCenter, and BlueXP.
- Administer and maintain storage networking technologies such as Fibre Channel (FC) and iSCSI, along with file protocols including NFS and CIFS/SMB.
- Provide expert troubleshooting, performance tuning, and capacity planning.

Qualifications:
- 5+ years of experience in enterprise storage architecture and administration with NetApp ONTAP.
- Strong knowledge of NetApp data protection tools and storage protocols.
- Experience in hybrid storage environments (on-premises and cloud).
- Excellent problem-solving and communication skills.

Join a passionate team working at the intersection of technology and sports. We offer competitive compensation, benefits, and a collaborative environment.","Python","Storage Area Network","Cisco Router","RAID Administration","Linux System Administration","Storage Array","",""
"7 hours ago","Multilayer perceptron model","https://www.upwork.com/jobs/Multilayer-perceptron-model_~021917372312835494067/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$50.00","i am looking for machine learning (expert) for building a multilayer perceptron model that can be used for forcasting yield of crop products for a geographical region a year into the future (e.g. given historical data up until or at year 5676, your model can predict the yield of crop products for year 5677).","Python","Machine Learning","Modeling","","","","",""
"7 hours ago","Backend Developer Needed for Startup Prototype Conversion","https://www.upwork.com/jobs/Backend-Developer-Needed-for-Startup-Prototype-Conversion_~021917415654794938475/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$20.00","We are seeking a skilled backend developer to help turn our startup prototype into a functional product. We have already outlined the design and vision but require an expert to implement the backend coding necessary for our application. If you are experienced in building scalable backend systems and can work collaboratively to bring our vision to life, we want to hear from you. Your input will be crucial in ensuring our product meets industry standards and user needs.","Python","JavaScript","Prototyping","Web Development","Web Design","","",""
"7 hours ago","Programmer for AI-Based Game","https://www.upwork.com/jobs/span-class-highlight-Python-span-Programmer-for-Based-Game_~021917368974126037744/?referrer_url_path=/nx/search/jobs/","Hourly: $20.00 - $40.00","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","I am seeking a  developer to help develop a text-based game that relies on an LLM for natural language analysis and game logic. 

Initially I'm looking for a proof of concept with a minimum viable product  Upon successful completion, I would love to find a partner to further develop the game. 

Proposed deliverables:

-  notebook with API integrations
- Basic game logic based upon inputs from player and AI 
- Logical and clear code and notes enabling others to edit AI prompts  and refine game logic. 

Timeline:  2 Weeks 

What I'm looking for: 
-  expertise
- AI API integration
- Interest in Gaming 
- Excellent American English
- Curiosity and Open Mind 
- Excellent communication skills","Python","ChatGPT API","Artificial Intelligence","Game Development","Gemini","Chatbot","","python"
"7 hours ago","🔧 Build a Hands-Free Stock Scanner Automation + Scoring Dashboard (Thinkorswim +  + Streamlit","https://www.upwork.com/jobs/Build-Hands-Free-Stock-Scanner-Automation-Scoring-Dashboard-Thinkorswim-span-class-highlight-Python-span-Streamlit_~021917410950577389519/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$455.00","🧠 What We Need
We're looking for a reliable  developer to build a fully automated stock filtering assistant that integrates with the Thinkorswim (TOS) platform. The system will launch TOS, export a scanner result, enrich each stock with key technical data (like ATR, SMA alignment, news), score them using a custom 10-rule checklist, and display the top picks inside a clean dashboard.

This is a well-scoped, focused automation project designed to save time during daily trading prep.

🔧 Key Responsibilities
Automate Thinkorswim: launch app, go to Scanner tab, wait, and export scan results to CSV

Parse and clean CSV data (ticker, volume, net change, ATR, etc.)

Use free APIs like yfinance or finta to:

Confirm ATR above 5

Check SMA 50 100 200 alignment

Analyze support resistance or Fib zone proximity

Identify earnings or headline news using NewsAPI or scraping Yahoo

Apply a 10-rule scoring system (1 point per rule met)

Build a Streamlit dashboard that:

Ranks stocks by score

Offers filtering (min score, volume, ATR)

Includes optional chart preview and tags like “Watch” or “Ignore”

Make the tool runnable locally with one click or via Windows Task Scheduler

💰 Budget
Fixed price: 455

Bonus: Up to 75 for early, clean, and well-documented work

Expectation: 7 to 10 day turnaround

✅ Ideal Candidate
 developer with experience in automation (pyautogui, AutoHotKey, or similar)

Strong with APIs and basic financial indicators (ATR, SMA, support resistance)

Comfortable building dashboards (Streamlit, Dash, or Gradio)

Able to work independently and deliver clean, modular code","Python","Automation","API","Streamlit","Data Analysis","","","Python"
"7 hours ago","Discord Bot Development for Techmeme News Scraping","https://www.upwork.com/jobs/Discord-Bot-Development-for-Techmeme-News-Scraping_~021917409970345647335/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$50.00","We are looking for a skilled developer to create a Discord bot that will scrape the latest top news articles from Techmeme and automatically post them in a designated channel. The bot should operate in real-time, ensuring that news articles are shared as soon as they are published. Ideal candidates will have prior experience with Discord bots, web scraping, and API integration. If you are passionate about tech news and have the technical expertise to deliver a high-quality product, we would love to hear from you!","Python","Data Scraping","JavaScript","Bot Development","","","",""
"7 hours ago","Looking for a GoHighLevel external app automation expert.","https://www.upwork.com/jobs/Looking-for-GoHighLevel-external-app-automation-expert_~021917409647591411882/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$300.00","I am looking for a GHL expert who is also familiar Notion API, and either Make or Zapier, with experience in building automated reports, tracking time-based metrics, and syncing data between CRM and Notion. Feel free to reach out if you're a pro in all 3. 

https://lighthousedynamics.notion.site/Project-Outline-1-1d08169ff0c880c59a05e9c2a098d350","","Make.com","Notion","","","","",""
